id,carat,cut,color,clarity,depth,table,x,y,z,price
167879,0.3,Premium,G,VS1,62.6,60.0,4.23,4.27,2.66,605
141391,0.52,Ideal,E,VS2,62.3,55.0,5.14,5.17,3.2,2268
4496,0.7,Good,G,SI1,62.2,60.0,5.63,5.65,3.51,2394
57982,0.71,Premium,D,SI1,61.5,60.0,5.69,5.74,3.51,2913
95585,0.53,Ideal,D,VS1,60.6,55.0,5.27,5.24,3.19,2378
181584,0.9,Very Good,E,SI1,61.5,61.0,6.13,6.16,3.78,3139
51741,0.71,Ideal,I,VS2,62.0,55.0,5.73,5.76,3.57,2327
49377,0.4,Premium,G,VS2,61.0,60.0,4.7,4.75,2.88,702
171117,1.22,Ideal,F,SI1,61.1,57.0,6.91,6.87,4.21,6659
92330,1.02,Ideal,G,SI2,61.9,55.0,6.49,6.46,4.01,4769
141918,1.61,Very Good,D,SI2,63.0,59.0,7.4,7.37,4.67,9974
73262,0.33,Ideal,E,VVS2,61.9,56.0,4.47,4.45,2.76,1008
112483,0.7,Very Good,E,VS2,60.4,60.0,5.71,5.79,3.46,2795
118297,0.35,Premium,H,VVS2,61.5,60.0,4.54,4.52,2.78,833
57040,0.81,Ideal,E,SI2,62.3,57.0,5.95,5.9,3.7,2691
175979,1.01,Good,D,VS1,63.2,61.0,6.29,6.38,4.0,6066
138466,0.23,Very Good,G,VS1,62.4,58.0,3.92,3.95,2.45,402
36949,0.73,Ideal,H,SI2,60.9,57.0,5.83,5.86,3.55,2266
8965,1.52,Ideal,H,VS2,60.3,57.0,7.48,7.46,4.5,10929
181167,1.01,Good,H,SI2,63.6,57.0,6.32,6.25,3.98,3415
156013,1.16,Ideal,G,VS1,61.8,54.0,6.75,6.78,4.18,7404
180828,1.01,Premium,H,SI1,61.4,58.0,6.42,6.47,3.96,4677
113443,1.0,Very Good,I,SI2,62.5,58.0,6.35,6.32,3.96,3516
193092,0.23,Very Good,E,VVS1,62.8,61.0,3.92,3.95,2.48,505
105003,0.41,Very Good,D,SI1,61.9,58.0,4.76,4.78,2.96,717
2666,0.27,Ideal,F,VS2,61.0,55.0,4.2,4.26,2.57,599
173330,0.7,Good,I,VS1,63.6,58.0,5.62,5.58,3.56,2542
147510,0.46,Ideal,H,VS1,62.4,54.0,4.92,4.94,3.08,1169
111737,1.2,Very Good,H,VVS1,63.3,58.0,6.71,6.74,4.25,8167
62912,2.03,Ideal,I,VS2,62.0,55.0,8.12,8.06,5.02,18395
4250,0.42,Ideal,J,IF,61.9,56.0,4.78,4.81,2.97,998
101033,0.38,Very Good,G,VS2,58.9,61.0,4.72,4.75,2.79,800
184166,0.71,Very Good,E,VS2,64.2,62.0,5.63,5.63,3.62,2990
159787,0.72,Ideal,G,SI1,61.3,56.0,5.77,5.8,3.54,2705
132491,0.41,Very Good,G,VS1,58.8,62.0,4.88,4.91,2.86,970
39281,0.7,Ideal,I,VS1,62.1,55.0,5.64,5.67,3.52,2269
149315,0.32,Ideal,E,VS2,62.1,56.0,4.35,4.38,2.71,658
59008,0.9,Good,G,VS2,63.2,62.0,6.13,6.07,3.86,3893
43417,0.8,Good,I,SI2,63.7,59.0,5.77,5.73,3.66,2344
32914,0.38,Premium,E,SI1,61.2,60.0,4.68,4.63,2.86,573
190662,1.21,Ideal,H,VS1,61.7,57.0,6.85,6.86,4.23,7294
140598,0.74,Ideal,G,VS2,61.9,55.0,5.83,5.85,3.62,3154
124817,0.7,Very Good,E,SI1,60.2,59.0,5.69,5.73,3.43,2554
153410,0.7,Very Good,D,SI1,59.3,62.0,5.74,5.8,3.43,2721
111384,2.01,Ideal,H,SI2,60.6,60.0,8.08,8.17,4.92,15762
187166,0.23,Very Good,E,VS2,62.0,56.0,3.94,3.97,2.45,336
147127,0.31,Ideal,D,SI1,61.8,55.0,4.33,4.35,2.68,515
57180,1.06,Ideal,H,SI1,61.7,56.0,6.59,6.55,4.05,5147
169449,0.55,Ideal,G,SI1,60.8,56.0,5.3,5.32,3.23,1563
20101,0.7,Very Good,F,SI1,59.2,59.0,5.75,5.8,3.41,2401
187546,1.54,Ideal,H,SI1,61.5,55.0,7.4,7.44,4.57,10063
39213,1.05,Very Good,G,SI2,61.5,56.0,6.51,6.55,4.03,4449
31514,0.31,Ideal,D,SI1,62.5,54.0,4.34,4.37,2.72,589
84432,0.55,Ideal,E,VS2,61.7,55.0,5.25,5.3,3.25,1766
144655,0.33,Ideal,H,SI1,61.9,56.0,4.45,4.48,2.76,533
138090,0.52,Ideal,E,VS2,62.4,55.0,5.16,5.13,3.21,1801
86173,1.13,Very Good,H,SI1,61.7,59.0,6.65,6.7,4.13,5035
149137,0.53,Ideal,F,VVS2,61.9,56.0,5.18,5.22,3.22,2160
119436,0.9,Ideal,D,SI2,61.9,57.0,6.25,6.21,3.85,3787
84824,0.34,Ideal,H,VVS2,62.4,53.0,4.53,4.48,2.81,880
62050,0.3,Premium,J,VS2,61.5,59.0,4.28,4.31,2.64,367
4236,0.32,Ideal,G,VVS1,61.9,55.0,4.39,4.42,2.72,683
33300,0.39,Very Good,G,VS2,62.5,59.0,4.66,4.63,2.91,898
34668,0.54,Ideal,G,SI2,61.5,55.0,5.23,5.24,3.22,1211
41790,1.01,Premium,F,SI1,63.0,59.0,6.39,6.33,4.01,5581
110404,1.01,Good,G,VS1,60.8,65.0,6.36,6.43,3.89,6759
130701,0.75,Very Good,H,SI1,61.9,59.0,5.79,5.82,3.59,2444
185476,0.4,Ideal,E,VVS2,62.3,56.0,4.76,4.72,2.95,1139
39160,0.32,Ideal,D,VS2,61.9,56.0,4.4,4.43,2.73,670
172922,0.9,Ideal,D,SI1,62.7,56.0,6.13,6.09,3.84,4366
50428,1.01,Premium,I,SI2,62.6,59.0,6.39,6.32,3.98,3293
113859,1.02,Premium,F,SI1,61.8,58.0,6.52,6.49,4.02,5686
58670,1.0,Good,H,SI1,63.2,56.0,6.33,6.39,4.02,4788
146942,1.51,Very Good,F,SI1,63.2,59.0,7.15,7.19,4.53,10271
186848,0.43,Premium,H,VVS1,60.3,59.0,4.9,4.86,2.95,1127
156183,0.54,Ideal,F,VS2,61.9,56.0,5.24,5.2,3.23,1783
69521,0.39,Ideal,E,SI1,62.0,55.0,4.7,4.74,2.92,683
116500,0.63,Ideal,H,VVS1,60.9,59.0,5.56,5.59,3.4,2008
114515,1.14,Ideal,D,VS2,61.1,59.0,6.72,6.69,4.1,7965
164375,0.37,Ideal,G,VS2,61.4,55.0,4.64,4.67,2.86,692
177899,0.9,Very Good,H,SI2,62.2,58.0,6.14,6.1,3.81,3360
136608,0.34,Very Good,E,SI1,62.9,58.0,4.48,4.46,2.81,765
105849,0.8,Ideal,F,VS1,61.1,56.0,5.98,6.01,3.65,3601
88239,0.42,Ideal,D,VS2,62.7,57.0,4.76,4.79,3.0,943
159984,0.85,Ideal,F,SI1,61.1,56.0,6.12,6.09,3.73,3371
10628,0.31,Ideal,F,VVS1,62.1,54.0,4.36,4.37,2.71,790
58503,0.31,Ideal,G,SI1,61.3,56.0,4.39,4.37,2.68,479
18733,1.22,Ideal,G,VVS2,62.1,53.0,6.82,6.77,4.24,9146
99445,0.41,Premium,F,VS2,61.1,58.0,4.79,4.76,2.92,1107
55884,0.33,Premium,D,VVS2,61.9,58.0,4.47,4.42,2.75,858
41881,0.72,Ideal,I,VVS2,62.2,56.0,5.74,5.77,3.58,2594
84690,0.52,Ideal,E,VS2,62.0,54.0,5.15,5.2,3.21,1825
172926,0.41,Premium,E,VS1,60.5,58.0,4.76,4.81,2.9,1079
167477,0.71,Premium,F,SI1,61.9,57.0,5.69,5.77,3.54,2463
168143,0.33,Ideal,G,VS1,61.9,57.0,4.41,4.44,2.74,772
89229,1.01,Very Good,E,VS2,60.0,59.0,6.49,6.53,3.91,6239
148190,1.79,Ideal,G,VS2,61.8,55.0,7.79,7.76,4.83,18215
179526,1.1,Ideal,I,SI1,62.1,56.0,6.57,6.59,4.09,4278
1658,1.56,Premium,H,SI1,58.3,59.0,7.67,7.59,4.44,11979
190859,0.3,Premium,G,VS1,59.8,60.0,4.36,4.32,2.59,776
42555,0.25,Very Good,H,VS1,62.8,55.0,4.05,4.08,2.55,504
72851,1.62,Ideal,G,VS1,62.0,57.0,7.5,7.54,4.68,15837
99121,0.32,Very Good,G,VS2,61.1,58.0,4.42,4.45,2.7,518
113758,0.42,Premium,F,SI1,61.5,59.0,4.83,4.8,2.96,810
149893,1.51,Ideal,G,SI2,62.7,57.0,7.31,7.28,4.58,7636
153417,1.01,Good,F,SI2,60.7,58.0,6.4,6.44,3.9,3768
179130,1.52,Premium,G,SI1,61.2,61.0,7.37,7.34,4.49,10450
175638,0.5,Premium,E,SI1,59.6,59.0,5.14,5.09,3.08,1318
109887,1.03,Premium,D,SI1,60.1,61.0,6.57,6.53,3.94,5477
172634,0.56,Ideal,G,VVS2,61.8,56.0,5.31,5.29,3.28,2215
40156,0.32,Very Good,H,SI1,63.1,55.0,4.4,4.38,2.77,576
107454,0.39,Premium,E,VS2,62.8,59.0,4.63,4.66,2.92,1112
128539,1.28,Very Good,G,SI2,62.3,57.0,6.91,6.96,4.32,4916
40951,0.91,Premium,H,SI1,63.0,56.0,6.15,6.11,3.86,3781
30657,2.22,Very Good,J,VS2,63.4,59.0,8.29,8.35,5.25,17162
57092,1.0,Premium,E,SI2,62.4,61.0,6.39,6.35,3.98,4625
68050,0.41,Ideal,J,IF,61.2,57.0,4.81,4.85,2.95,1061
19872,1.01,Ideal,J,VS1,61.6,57.0,6.4,6.45,3.95,4222
32590,0.52,Ideal,E,VS2,61.7,57.0,5.16,5.2,3.2,1689
177933,1.11,Premium,G,SI1,62.3,61.0,6.58,6.64,4.11,5395
145170,0.3,Premium,H,SI1,62.2,61.0,4.26,4.29,2.66,540
28004,0.34,Ideal,E,VS2,61.7,55.0,4.52,4.49,2.78,745
48507,0.34,Premium,H,SI2,61.5,59.0,4.49,4.53,2.77,469
70521,1.01,Premium,H,SI1,62.7,59.0,6.38,6.42,4.02,4706
9003,0.32,Ideal,H,SI1,62.3,55.0,4.38,4.4,2.74,461
81270,0.31,Premium,G,VS1,61.0,59.0,4.37,4.39,2.67,802
174113,0.53,Premium,D,SI1,61.9,58.0,5.18,5.16,3.2,1391
170376,1.58,Good,D,SI1,62.6,58.0,7.43,7.46,4.67,12200
136288,1.51,Very Good,I,VS2,61.7,59.0,7.33,7.28,4.5,9820
53010,0.37,Premium,E,SI1,62.8,58.0,4.61,4.59,2.89,882
136663,1.24,Premium,G,VS2,62.6,58.0,6.81,6.84,4.27,6902
107233,0.3,Premium,H,SI1,61.6,58.0,4.33,4.28,2.65,554
21271,0.33,Ideal,G,VS1,62.4,55.0,4.43,4.46,2.77,666
127333,0.31,Ideal,E,VS2,61.2,56.0,4.37,4.35,2.67,872
166688,0.4,Ideal,E,SI1,62.1,56.0,4.76,4.74,2.95,773
89782,0.57,Ideal,F,VS2,60.2,57.0,5.36,5.4,3.24,1760
15054,1.01,Very Good,H,SI1,63.2,58.0,6.41,6.37,4.04,5818
185659,0.59,Ideal,D,SI1,61.5,57.0,5.41,5.43,3.33,1869
188364,0.52,Ideal,E,VS2,61.9,55.0,5.16,5.19,3.2,1576
156164,0.41,Ideal,E,VS1,61.8,55.0,4.76,4.78,2.95,1153
163187,0.71,Ideal,F,VVS2,60.4,53.0,5.76,5.79,3.49,3020
117031,0.5,Good,E,SI1,63.8,57.0,5.05,5.09,3.23,1384
182765,0.32,Ideal,H,VS1,62.0,57.0,4.37,4.35,2.7,524
186679,1.32,Ideal,H,VS2,61.9,56.0,7.07,7.04,4.36,9012
125366,0.71,Very Good,F,SI2,62.3,56.0,5.69,5.74,3.56,1998
156046,2.13,Ideal,H,SI2,62.4,55.0,8.27,8.19,5.12,12549
43927,0.33,Ideal,E,VS2,62.1,55.0,4.44,4.46,2.77,621
136620,0.56,Ideal,G,VS1,61.6,54.0,5.31,5.33,3.28,2087
53755,1.06,Very Good,I,VS1,61.5,56.0,6.53,6.58,4.03,6108
184003,0.71,Ideal,F,SI1,61.1,56.0,5.76,5.79,3.53,2657
124001,1.29,Very Good,F,SI2,60.2,61.0,6.97,7.0,4.24,6098
48256,0.71,Ideal,G,VVS1,61.5,56.0,5.74,5.78,3.54,3570
37222,0.4,Ideal,I,VVS1,62.7,55.0,4.74,4.68,2.95,1069
67920,1.02,Very Good,E,SI1,63.1,57.0,6.35,6.41,4.03,5176
140248,0.55,Ideal,E,VS2,61.0,56.0,5.27,5.3,3.21,1667
49921,0.3,Ideal,F,VS1,62.0,57.0,4.27,4.31,2.66,624
179717,1.67,Ideal,J,SI2,62.0,57.0,7.64,7.61,4.72,8549
90709,2.01,Premium,I,SI1,62.9,58.0,8.04,8.01,5.06,15948
183886,0.71,Premium,G,SI1,62.2,56.0,5.73,5.68,3.55,2522
53331,0.3,Ideal,F,SI1,62.0,55.0,4.28,4.31,2.67,605
163011,0.4,Ideal,F,VS1,62.1,55.0,4.77,4.74,2.95,1023
173701,1.75,Ideal,H,SI2,62.0,57.0,7.68,7.72,4.76,11925
36297,0.31,Very Good,J,VS1,63.4,56.0,4.31,4.29,2.73,406
97269,0.38,Very Good,E,VVS2,60.8,56.0,4.66,4.69,2.85,966
170022,1.59,Ideal,G,VVS2,62.2,55.0,7.47,7.43,4.64,15701
43988,0.43,Very Good,J,VS1,62.9,58.0,4.8,4.82,3.02,833
4595,0.31,Ideal,E,SI1,62.3,57.0,4.37,4.33,2.71,698
53560,2.11,Very Good,J,VS2,60.4,60.0,8.36,8.43,5.05,13340
9028,0.71,Premium,G,VS1,59.5,60.0,5.81,5.79,3.45,2802
20633,0.31,Very Good,I,IF,63.5,58.0,4.31,4.26,2.72,828
184654,0.31,Ideal,D,SI1,62.1,54.0,4.37,4.39,2.72,626
178031,0.71,Good,E,SI1,63.2,57.0,5.64,5.67,3.57,2559
59078,0.9,Fair,D,VS2,64.4,59.0,6.08,6.04,3.89,4339
53816,0.32,Ideal,I,VVS1,62.3,55.0,4.41,4.38,2.74,756
14956,1.12,Ideal,H,VS2,61.3,57.0,6.72,6.74,4.13,6617
152221,1.54,Ideal,D,SI1,61.9,57.0,7.41,7.38,4.57,12821
83042,0.91,Ideal,F,SI1,62.3,57.0,6.19,6.23,3.85,4222
179287,0.36,Premium,D,SI2,63.0,58.0,4.59,4.53,2.89,851
11177,0.9,Premium,F,SI1,62.3,59.0,6.14,6.2,3.84,3950
169813,0.53,Ideal,E,VS2,61.3,57.0,5.19,5.25,3.21,1813
148216,0.4,Premium,E,VS2,62.5,58.0,4.71,4.68,2.93,879
138712,0.53,Ideal,E,VS2,60.9,56.0,5.21,5.28,3.2,1740
85930,0.4,Premium,E,VS1,61.0,56.0,4.8,4.75,2.91,1077
10518,0.51,Premium,E,SI1,60.5,58.0,5.22,5.18,3.15,1546
169075,0.3,Very Good,H,VS1,60.7,60.0,4.34,4.39,2.65,545
153873,1.16,Ideal,G,VVS1,62.0,54.0,6.76,6.83,4.21,9891
49498,0.9,Very Good,J,SI1,63.2,53.0,6.12,6.22,3.9,3088
172623,1.02,Ideal,H,SI1,62.7,56.0,6.44,6.46,4.04,4704
121239,0.52,Ideal,G,VVS2,61.4,56.0,5.19,5.21,3.19,1876
155556,0.31,Premium,J,SI1,62.7,59.0,4.25,4.27,2.67,414
49514,0.53,Very Good,E,SI1,60.6,56.0,5.23,5.27,3.19,1548
10986,0.3,Ideal,H,VS1,62.8,56.0,4.3,4.28,2.7,675
51039,0.3,Ideal,G,VS2,61.9,56.0,4.29,4.26,2.65,675
6719,0.37,Very Good,G,VS1,60.3,61.0,4.62,4.65,2.79,737
94628,1.18,Ideal,E,SI2,61.9,56.0,6.83,6.79,4.19,4785
9653,1.02,Premium,D,VS1,62.5,58.0,6.41,6.44,4.02,8258
133799,0.41,Ideal,H,SI1,62.3,56.0,4.75,4.79,2.97,876
115088,0.4,Ideal,G,VVS1,61.3,55.0,4.75,4.76,2.92,1123
144486,0.34,Ideal,H,VS1,60.4,55.0,4.54,4.56,2.75,596
24117,1.5,Ideal,H,VS1,61.5,56.0,7.3,7.35,4.5,10584
133883,0.91,Premium,F,SI2,61.9,51.0,6.21,6.24,3.86,3546
40358,0.31,Very Good,D,VS2,63.4,57.0,4.27,4.3,2.71,734
158389,0.32,Ideal,G,SI1,61.3,56.0,4.39,4.42,2.7,612
108961,1.52,Ideal,J,VS2,61.6,56.0,7.39,7.42,4.55,8092
19317,2.02,Premium,J,VS2,62.1,60.0,8.09,7.95,4.99,13582
32165,0.32,Very Good,J,SI2,62.9,54.0,4.38,4.36,2.75,357
50591,0.5,Very Good,E,SI1,59.1,60.0,5.27,5.24,3.09,1439
88810,0.51,Good,G,VS1,63.8,56.0,5.06,5.1,3.24,1694
50445,0.43,Ideal,F,VVS1,62.4,54.0,4.84,4.81,3.01,1331
48212,1.22,Ideal,G,VS2,61.8,57.0,6.83,6.88,4.24,8190
131680,1.01,Premium,F,SI2,62.6,57.0,6.39,6.27,3.96,3558
45745,2.01,Premium,I,SI1,61.2,60.0,8.08,8.05,4.92,12883
66420,0.37,Ideal,D,SI1,61.0,56.0,4.63,4.65,2.83,679
184999,0.3,Ideal,E,VS2,62.6,56.0,4.32,4.29,2.69,844
68863,0.35,Very Good,G,VVS2,61.4,59.0,4.51,4.54,2.78,821
155380,0.56,Premium,G,VS2,62.2,59.0,5.34,5.28,3.3,1788
26218,1.63,Ideal,H,VS1,61.9,57.0,7.49,7.54,4.66,13811
143233,1.06,Premium,H,SI1,62.1,59.0,6.47,6.51,4.03,4568
5212,1.0,Ideal,E,VS2,62.3,57.0,6.39,6.35,3.96,6272
86410,0.32,Very Good,G,SI1,61.6,59.0,4.35,4.39,2.69,447
126628,0.53,Ideal,H,VS1,61.4,56.0,5.24,5.21,3.21,1676
149612,1.17,Ideal,G,SI2,62.5,57.0,6.75,6.72,4.22,4722
83012,2.02,Premium,H,SI1,61.5,58.0,8.1,8.03,4.94,18014
27080,0.7,Very Good,J,VS2,59.2,63.0,5.75,5.77,3.42,2035
175397,0.43,Ideal,H,VS1,61.9,56.0,4.9,4.85,3.02,1087
3604,1.01,Premium,G,SI2,61.7,59.0,6.47,6.43,3.98,4620
172565,1.51,Very Good,F,VS2,62.6,57.0,7.27,7.34,4.57,15371
129183,0.31,Very Good,D,VS2,63.5,59.0,4.34,4.31,2.74,942
7854,0.51,Good,G,SI1,63.7,57.0,5.1,5.06,3.24,1263
129381,1.01,Premium,F,SI1,62.5,60.0,6.42,6.38,4.0,4836
60058,1.0,Ideal,F,SI1,60.4,57.0,6.54,6.48,3.92,5088
192495,0.91,Very Good,E,VS2,61.8,59.0,6.14,6.19,3.81,4615
6772,1.52,Fair,D,SI1,56.2,59.0,7.7,7.62,4.31,9885
163676,1.51,Premium,F,VS2,61.6,58.0,7.41,7.39,4.55,9521
191917,0.51,Ideal,G,SI1,61.1,56.0,5.19,5.16,3.16,1435
182039,1.0,Premium,F,SI1,62.6,59.0,6.37,6.34,3.97,4586
47623,0.78,Ideal,E,VS2,61.4,56.0,5.91,5.94,3.63,3294
75856,0.75,Premium,F,SI1,62.5,58.0,5.8,5.82,3.63,3003
3279,0.31,Ideal,F,IF,62.0,54.0,4.36,4.34,2.7,863
133177,1.02,Premium,E,VS1,62.7,58.0,6.41,6.38,4.01,7310
175849,2.54,Very Good,H,SI2,63.4,57.0,8.65,8.61,5.49,18429
10952,0.52,Premium,H,VVS1,60.8,61.0,5.24,5.19,3.18,1848
42430,0.46,Ideal,G,SI1,62.0,54.0,4.95,4.99,3.08,1056
34391,0.3,Ideal,F,VS1,61.4,56.0,4.3,4.33,2.65,640
51889,0.37,Ideal,G,IF,61.7,55.0,4.62,4.64,2.85,979
94910,0.52,Ideal,E,VS2,61.8,57.0,5.16,5.19,3.2,1754
144876,0.29,Ideal,D,VVS1,61.2,57.0,4.29,4.31,2.63,1114
22614,1.11,Premium,G,SI2,61.2,57.0,6.7,6.66,4.09,5113
144432,0.7,Ideal,H,VVS1,62.7,57.0,5.64,5.67,3.54,3378
369,1.19,Premium,H,SI1,62.9,56.0,6.82,6.75,4.27,5802
165606,0.51,Very Good,E,SI1,63.3,58.0,5.09,5.06,3.21,1439
56078,0.41,Very Good,D,VVS1,63.4,57.0,4.68,4.71,2.97,1018
24929,0.39,Premium,F,VVS2,60.1,59.0,4.73,4.79,2.86,1163
144105,0.77,Premium,D,SI2,61.3,58.0,5.83,5.85,3.58,2362
85082,0.72,Ideal,D,VS2,61.2,55.0,5.77,5.83,3.55,2898
191153,1.02,Premium,F,VS1,62.4,58.0,6.46,6.39,4.01,7305
28122,1.11,Very Good,F,SI2,63.5,60.0,6.56,6.52,4.15,4502
190682,0.59,Ideal,D,SI2,61.7,57.0,5.41,5.43,3.34,1572
115645,1.01,Premium,F,VS2,60.7,58.0,6.49,6.45,3.94,6702
47225,0.33,Very Good,E,VVS1,61.9,56.0,4.45,4.48,2.77,893
38729,0.32,Ideal,H,SI1,62.0,54.0,4.41,4.43,2.74,449
181530,1.21,Ideal,H,VS1,62.4,56.0,6.77,6.84,4.25,7466
51422,0.3,Very Good,H,IF,63.1,54.0,4.28,4.3,2.71,789
119362,0.71,Very Good,F,VVS2,60.7,56.0,5.74,5.77,3.5,3056
78900,0.54,Ideal,E,VS1,60.7,57.0,5.28,5.25,3.2,1966
135933,0.4,Premium,D,VS1,61.9,60.0,4.65,4.68,2.89,967
185568,1.7,Ideal,H,SI1,59.8,57.0,7.71,7.73,4.62,11869
49856,2.22,Good,I,SI2,62.7,60.0,8.31,8.23,5.19,16731
111148,0.7,Premium,E,VVS2,62.2,59.0,5.6,5.63,3.48,3151
139507,0.4,Ideal,E,SI1,62.8,57.0,4.73,4.71,2.97,926
11691,1.04,Premium,F,VS2,58.9,59.0,6.69,6.6,3.91,5944
117209,0.33,Ideal,E,VS1,61.9,56.0,4.47,4.45,2.76,1094
172344,0.4,Very Good,H,SI1,62.8,56.0,4.66,4.7,2.94,555
19396,1.02,Premium,G,VS2,62.0,59.0,6.45,6.41,4.0,6235
191250,0.9,Premium,D,SI1,62.6,62.0,6.12,6.06,3.82,3509
14864,0.41,Ideal,E,VS1,61.8,56.0,4.79,4.77,2.95,1153
132098,0.31,Ideal,D,VS2,62.5,55.0,4.32,4.34,2.71,692
78764,0.36,Very Good,H,VVS1,62.8,59.0,4.5,4.46,2.8,1013
87829,0.91,Very Good,F,SI1,62.8,58.0,6.07,6.12,3.83,4214
67016,1.22,Premium,G,SI2,60.8,61.0,6.92,6.84,4.17,5701
186118,0.71,Very Good,G,VS2,62.8,56.0,5.73,5.7,3.59,2473
144906,0.33,Ideal,G,IF,61.3,56.0,4.47,4.48,2.75,1046
116174,1.11,Ideal,H,SI1,61.8,55.0,6.68,6.72,4.14,5342
81004,0.51,Very Good,E,SI1,62.4,59.0,5.07,5.09,3.17,1443
178386,0.31,Ideal,D,VS1,61.1,56.0,4.36,4.41,2.68,713
105891,1.21,Premium,H,SI1,60.8,59.0,6.84,6.87,4.17,6350
190287,0.73,Very Good,D,VS2,59.9,58.0,5.85,5.82,3.49,3304
175588,1.1,Premium,F,SI2,61.4,59.0,6.65,6.62,4.08,4347
36994,1.7,Premium,H,VS2,62.2,58.0,7.65,7.56,4.74,11795
190230,0.31,Premium,D,VS2,62.6,58.0,4.33,4.31,2.71,942
150967,1.02,Premium,F,SI2,61.5,58.0,6.44,6.47,3.97,4642
70288,0.71,Ideal,H,VS1,61.2,56.0,5.75,5.79,3.53,2572
77492,1.65,Ideal,G,VS1,62.4,56.0,7.61,7.56,4.73,13846
46113,1.15,Premium,G,SI1,61.7,60.0,6.68,6.69,4.13,5851
150996,1.53,Ideal,H,VS2,62.9,56.0,7.37,7.3,4.6,10255
131248,1.15,Ideal,H,SI2,62.0,56.0,6.71,6.68,4.14,4020
124150,0.76,Premium,F,SI1,61.6,58.0,5.91,5.83,3.61,2816
119904,0.31,Ideal,G,VVS1,61.7,55.0,4.36,4.38,2.7,816
126543,2.03,Ideal,I,SI2,62.5,55.0,8.07,7.99,5.04,11051
381,1.5,Very Good,H,VS2,62.8,57.0,7.24,7.31,4.57,10083
88379,0.76,Premium,E,VVS2,62.1,54.0,5.79,5.83,3.6,3881
86427,0.34,Very Good,D,SI1,60.6,61.0,4.54,4.51,2.74,626
181386,1.51,Good,D,SI1,63.5,57.0,7.22,7.26,4.59,12648
94068,0.5,Premium,E,VS2,62.2,59.0,5.05,5.1,3.16,1746
